"No","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1032,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 4)",2,"Cluid Housing","","","","","","Q4-2019"
1033,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",11,"*N/A","","","","","","Q2-2017"
1034,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Newpark, Castlecomer Road, Kilkenny",7,"*N/A","","","","","","Q1-2017"
1035,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank",8,"*N/A","","","","","","Q1-2018"
1036,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",5,"*N/A","","","","","","Q4-2017"
1037,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank (Phase 2)",1,"*N/A","","","","","","Q3-2018"
1038,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford (Phase 3)",18,"*N/A","","","","","","Q4-2018"
1039,"SHIP CONSTRUCTION TURNKEY","Kilkenny","New Road, Mooncoin",4,"*N/A","","","","","Q3-2018",""
1040,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Chapel Street, Mooncoin",2,"*N/A","","","","","Q3-2018",""
1041,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Ogenty, Gowran",12,"*N/A","","","","","","Q4-2018"
1042,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Lower Kilmacow",16,"*N/A","","","","","Q2-2020",""
1043,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Hebron Road, Kilkenny",8,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1044,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Limegrove, Oakridge, Ferrybank, Co. Kilkenny",4,"*N/A","","","","","","Q2-2020"
1045,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Hebron Road, Kilkenny",52,"*N/A","","","","Stage 4 approved Q1-2020, the scheme is fully approved.","",""
1046,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Lower Kilmacow, Co. Kilkenny",16,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1047,"SHIP CONSTRUCTION","Kildare","Newtown House, Leixlip",4,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1048,"SHIP CONSTRUCTION","Kildare","Coill Dubh",10,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
1049,"SHIP CONSTRUCTION","Kildare","Old Greenfield Road, Maynooth",47,"*N/A","Stage 1 approved Q4-2017, outline design and costs being prepared.","","","","",""
1050,"SHIP CONSTRUCTION","Kildare","Kilcock (Phase 2.2)",13,"*N/A","","","","","","Q1-2018"
1051,"SHIP CONSTRUCTION","Kildare","Ambassador Site, Kill",33,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1052,"SHIP CONSTRUCTION","Kildare","Carbury",5,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1053,"SHIP CONSTRUCTION","Kildare","St. Evins Park Monasterevin",16,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1054,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Kildare","Craddockstown, Naas (Phase 1)",36,"*N/A","","","","","","Q2-2020"
1055,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Kildare","Craddockstown, Naas (Phase 2)",38,"*N/A","","","","","Q1-2019",""
1056,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Kildare","Butterstream, Clane",77,"*N/A","","","","","Q1-2019",""
1057,"SHIP CONSTRUCTION","Kilkenny","Group Home Cloghabrody, Thomastown",4,"*N/A","","","","","Q3-2019",""
1058,"SHIP CONSTRUCTION","Kilkenny","Inchacarron, Mullinavat",2,"*N/A","","","","","Q3-2019",""
1059,"SHIP CONSTRUCTION","Kilkenny","Shanganny, Jenkinstown",2,"*N/A","","","","","Q4-2019",""
1060,"SHIP CONSTRUCTION","Kilkenny","Blackstaff House, Callan",4,"*N/A","","","","","","Q4-2019"
1061,"SHIP CONSTRUCTION","Kilkenny","Barna, Freshford",1,"*N/A","","","","","","Q2-2018"
1062,"SHIP CONSTRUCTION","Kilkenny","10 Golf Links Road, Kilkenny",6,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1063,"SHIP CONSTRUCTION","Kilkenny","Crokers Hill (Phase 2) Kennyswell Road, Kilkenny",35,"*N/A","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
1064,"SHIP CONSTRUCTION","Kilkenny","Main Street, Piltown",17,"*N/A","","","","","Q1-2019",""
1065,"CAS CONSTRUCTION TURNKEY","Kilkenny","Golf Links Road, Kilkenny",15,"Respond","","","","","","Q3-2019"
1066,"CAS CONSTRUCTION","Kilkenny","Kingsriver, Ennisnag",4,"Kingsriver Housing Association Limited","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
1067,"CAS CONSTRUCTION","Kilkenny","Garrin Green",6,"SOS Kilkenny Housing Association Ltd","","","","","","Q4-2018"
1068,"CAS CONSTRUCTION","Kilkenny","Hazelbrook, Newrath",2,"Waterford Dove Housing Association","","","","","","Q1-2018"
1069,"CAS CONSTRUCTION","Kilkenny","Good Shepherd Centre - Wing 1952",12,"The Good Shepherd Centre (Kilkenny) Ltd","","","","","","Q4-2018"
1070,"CAS CONSTRUCTION","Kilkenny","""Brooke House"", Thomastown",5,"Camphill Communities of Ireland","","","","","","Q3-2017"
1071,"CAS CONSTRUCTION","Kilkenny","Friary Walk, Callan",12,"Cluid Housing Association","","","","","","Q3-2016"
1072,"CAS CONSTRUCTION","Kilkenny","Garden Cottage, The Workhouse, Callan",1,"Camphill Communities of Ireland","","","","","","Q4-2017"
1073,"CAS CONSTRUCTION","Kilkenny","""Red Barn"" Patrick Street, Ballyragget",12,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
1074,"CAS CONSTRUCTION","Kilkenny","Smith's Road, Ballyraggett",4,"Oaklee Housing Trust","","","","","","Q4-2018"
1075,"CAS CONSTRUCTION","Kilkenny","Fennelly's Lane Jerpoint",3,"Camphill Communities of Ireland","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1076,"CAS CONSTRUCTION","Kilkenny","8/9 Kilkenny Street, Castlecomer",4,"Good Shepherd Services Ltd","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
1077,"CAS CONSTRUCTION","Kilkenny","19/21 Blackmill Street, Kilkenny",12,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1078,"CAS CONSTRUCTION","Kilkenny","Brother Thomas Place, Church Lane, Kilkenny",12,"Good Shepherd Services Ltd","","","Stage 3 approved Q2-2020, the scheme is now approved to proceed to tender.","","",""
1079,"CAS CONSTRUCTION","Kilkenny","Bridge Street, Callan",6,"Good Shepherd Services Ltd","","","","","","Q4-2019"
1080,"CAS CONSTRUCTION","Kilkenny","Grennan Villa, Thomastown",5,"Camphill Communities of Ireland","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1081,"CAS CONSTRUCTION","Kilkenny","Fiennes Court, William Street, Kilkenny",7,"Good Shepherd Services Ltd","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1082,"CAS CONSTRUCTION","Kilkenny","St. John of god Convent, College Road, Kilkenny",12,"Sophia Housing Association Ltd","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
1083,"CAS CONSTRUCTION","Kilkenny","The Riound House, Kells, Co. Kilkenny",4,"SOS Kilkenny Housing Association Ltd","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1084,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
1085,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 2)",6,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
1086,"CALF Turnkey","Kilkenny","Friars Hill, Graiguenamanagh, Co. Kilkenny (Phase 1)",12,"T�ath Housing Association Ltd","","","","Q2-2020","",""
1087,"CALF Turnkey","Kilkenny","Friars Hill, Graiguenamanagh, Co. Kilkenny (Phase 2)",4,"T�ath Housing Association Ltd","","","","Q2-2020","",""
1088,"CALF Turnkey","Kilkenny","Golf Links Road, Kilkenny (Phase 1)*",39,"Respond","","","","","","Q4-2019"
1089,"CALF Turnkey","Kilkenny","Logan Square, Thomastown, Co Kilkenny (Phase 1)*",16,"Oaklee Housing","","","","","","Q2-2017"
1090,"CALF Turnkey","Kilkenny","Love Lane, Castlecomer, Co. Kilkenny (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2019"
1091,"CALF Turnkey","Kilkenny","Margaret�s Field, Callan Road, Kilkenny City (Phase 1)",40,"Respond","","","","","Q1-2019",""
1092,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 1)",15,"Respond","","","","","Q4-2018",""
1093,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 2)",13,"Respond","","","","","Q4-2018",""
1094,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 3)*",22,"Respond","","","","","Q4-2018",""
1095,"CALF Turnkey","Kilkenny","O�Loughlin Court, Kilkenny  (Phase 1)",2,"Respond","","","","","","Q4-2018"
1096,"CALF Construction","Kilkenny","Park Lane, Friary Walk, Callan, Co Kilkenny (Phase 1)*",16,"Cluid Housing","","","","","","Q2-2019"
1097,"CALF Turnkey","Kilkenny","Side Road, Moneenroe, Castlecomer, Co. Kilkenny (Phase 1)",9,"Oaklee Housing","","","","","","Q3-2018"
1098,"CALF Construction","Kilkenny","Walkin St Kilkenny (Phase 1)",27,"Oaklee Housing","","","","","","Q4-2019"
1099,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",6,"*N/A","","","","","Q1-2020",""
1100,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",5,"*N/A","","","","","Q2-2020",""
1101,"SHIP CONSTRUCTION","Kilkenny","Station Road, Ballyragget",22,"*N/A","","","","","Q3-2019",""
1102,"SHIP CONSTRUCTION","Kilkenny","Bolton, Callan",38,"*N/A","","","","","Q2-2018",""
1103,"SHIP CONSTRUCTION","Kilkenny","Donaguile, Castlecomer",33,"*N/A","","","","","Q1-2019",""
1104,"SHIP CONSTRUCTION","Kilkenny","Rosehill, Kells Road, Kilkenny",6,"*N/A","","","","","","Q1-2017"
1105,"SHIP CONSTRUCTION","Kilkenny","Gaol Road, Kilkenny",10,"*N/A","","","","","","Q3-2016"
1106,"SHIP CONSTRUCTION","Kilkenny","Greensbridge House",5,"*N/A","","","","","","Q4-2018"
1107,"SHIP CONSTRUCTION","Kilkenny","The Broguemaker, Kilkenny",18,"*N/A","","","","","Q2-2020",""
1108,"SHIP CONSTRUCTION","Kilkenny","Ladywell, Thomastown",25,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1109,"SHIP CONSTRUCTION","Kilkenny","Crokers Hill, Kennyswell Road, Kilkenny",51,"*N/A","","","","","Q2-2020",""
1110,"SHIP CONSTRUCTION","Kilkenny","Ayrfield",9,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1111,"SHIP CONSTRUCTION","Laois","Harpurs Lane, Portlaoise",1,"*N/A","","","","","","Q4-2019"
1112,"SHIP CONSTRUCTION","Laois","Hillview, Portlaoise",2,"*N/A","","","","","Q4-2019",""
1113,"SHIP CONSTRUCTION","Laois","Coolroe, Ballybrittas",1,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1114,"SHIP CONSTRUCTION","Laois","The Orchard, Stradbally",6,"*N/A","","","","","","Q1-2020"
1115,"SHIP CONSTRUCTION","Laois","Moore Street, Rathdowney",6,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1116,"SHIP CONSTRUCTION","Laois","Ballymorris Road, Portarlington",22,"*N/A","","","","","Q3-2019",""
1117,"SHIP CONSTRUCTION","Laois","Gleann na Glaise, Ballyroan",10,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
1118,"SHIP CONSTRUCTION","Laois","Pattison Est. Mountmellick",10,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
