"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1141,"CALF Turnkey","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 1)*",5,"Cluid Housing","","","","","","Q4-2019"
1142,"CALF Turnkey","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 2)*",3,"Cluid Housing","","","","","","Q4-2020"
1143,"CALF Turnkey","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 3)*",16,"Cluid Housing","","","","","Q4-2018",""
1144,"CALF Turnkey","Kildare","The Paddocks, Newbridge, Co Kildare (Phase 1)",18,"Cluid Housing","","","","","","Q4-2020"
1145,"CALF Turnkey","Kildare","The Paddocks, Newbridge, Kildare  (Phase 1)",26,"Cluid Housing","","","","","Q2-2020",""
1146,"CALF Turnkey","Kildare","The Paddocks, Newbridge, Kildare  (Phase 2)",33,"Cluid Housing","","","","","Q2-2020",""
1147,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)",18,"Respond","","","","","","Q4-2019"
1148,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)*",18,"Respond","","","","","Q3-2019",""
1149,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 2)",32,"Respond","","","","","","Q2-2020"
1150,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 1)*",14,"Cluid Housing","","","","","","Q4-2018"
1151,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 2)",24,"Cluid Housing","","","","","","Q4-2018"
1152,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 3)",20,"Cluid Housing","","","","","","Q1-2019"
1153,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 4)",2,"Cluid Housing","","","","","","Q4-2019"
1154,"CALF Turnkey","Kildare","Willouise, Sallins, Kildare (Phase 1)",31,"Túath Housing Association","","","","","","Q4-2020"
1155,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Kildare","Craddockstown, Naas (Phase 1)",36,"*N/A","","","","","","Q2-2020"
1156,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Kildare","Craddockstown, Naas (Phase 2)",38,"*N/A","","","","","","Q3-2020"
1157,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Kildare","Butterstream, Clane",77,"*N/A","","","","","Q1-2019",""
1158,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",11,"*N/A","","","","","","Q2-2017"
1159,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Newpark, Castlecomer Road, Kilkenny",7,"*N/A","","","","","","Q1-2017"
1160,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank",8,"*N/A","","","","","","Q1-2018"
1161,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",5,"*N/A","","","","","","Q4-2017"
1162,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank (Phase 2)",1,"*N/A","","","","","","Q3-2018"
1163,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford (Phase 3)",18,"*N/A","","","","","","Q4-2018"
1164,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Ogenty, Gowran",12,"*N/A","","","","","","Q4-2018"
1165,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Pennefeather Court, Hebron Road, Kilkenny",8,"*N/A","","","","","Q3-2020",""
1166,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Limegrove, Oakridge, Ferrybank, Co. Kilkenny",4,"*N/A","","","","","","Q2-2020"
1167,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Pennefeather Green, Hebron Road, Kilkenny",58,"*N/A","","","","","Q3-2020",""
1168,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Lower Kilmacow, Co. Kilkenny",16,"*N/A","","","","","Q3-2020",""
1169,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Limegrove, Ferrybank, Co. Kilkenny",15,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1170,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Piltown, Kilkenny",4,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1171,"SHIP CONSTRUCTION SINGLE STAGE","Kilkenny","Group Home Cloghabrody, Thomastown",4,"*N/A","","","","","","Q3-2020"
1172,"SHIP CONSTRUCTION SINGLE STAGE","Kilkenny","Inchacarron, Mullinavat",2,"*N/A","","","","","Q3-2019",""
1173,"SHIP CONSTRUCTION SINGLE STAGE","Kilkenny","Shanganny, Jenkinstown",2,"*N/A","","","","","Q4-2019",""
1174,"SHIP CONSTRUCTION SINGLE STAGE","Kilkenny","Old Fire Station, Graiguenamanagh",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1175,"SHIP CONSTRUCTION","Kilkenny","Blackstaff House, Callan",4,"*N/A","","","","","","Q4-2019"
1176,"SHIP CONSTRUCTION","Kilkenny","Barna, Freshford",1,"*N/A","","","","","","Q2-2018"
1177,"SHIP CONSTRUCTION","Kilkenny","10 Golf Links Road, Kilkenny",6,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1178,"SHIP CONSTRUCTION","Kilkenny","Main Street, Piltown",17,"*N/A","","","","","","Q4-2020"
1179,"SHIP CONSTRUCTION","Kilkenny","Station Road, Ballyragget",22,"*N/A","","","","","Q3-2019",""
1180,"SHIP CONSTRUCTION","Kilkenny","Bolton, Callan",38,"*N/A","","","","","","Q3-2020"
1181,"SHIP CONSTRUCTION","Kilkenny","Donaguile, Castlecomer",33,"*N/A","","","","","Q1-2019",""
1182,"SHIP CONSTRUCTION","Kilkenny","Rosehill, Kells Road, Kilkenny",6,"*N/A","","","","","","Q1-2017"
1183,"SHIP CONSTRUCTION","Kilkenny","Gaol Road, Kilkenny",10,"*N/A","","","","","","Q3-2016"
1184,"SHIP CONSTRUCTION","Kilkenny","Greensbridge House",5,"*N/A","","","","","","Q4-2018"
1185,"SHIP CONSTRUCTION","Kilkenny","The Broguemaker, Kilkenny",18,"*N/A","","","","","Q2-2020",""
1186,"SHIP CONSTRUCTION","Kilkenny","Ladywell, Thomastown, Co. Kilkenny",25,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1187,"SHIP CONSTRUCTION","Kilkenny","Crokers Hill, Kennyswell Road, Kilkenny",88,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1188,"SHIP CONSTRUCTION","Kilkenny","Ayrfield",9,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1189,"SHIP CONSTRUCTION","Kilkenny","Canal Road, Johnstown, Co. Kilkenny Project 1",5,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1190,"SHIP CONSTRUCTION","Kilkenny","Canal Road Johnstown Project 2",2,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1191,"SHIP CONSTRUCTION","Kilkenny","Canal Road Johnstown Project 3",4,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1192,"CAS CONSTRUCTION TURNKEY","Kilkenny","Golf Links Road, Kilkenny",15,"Respond","","","","","","Q3-2019"
1193,"CAS CONSTRUCTION","Kilkenny","Kingsriver, Ennisnag",4,"Kingsriver Housing Association Limited","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
1194,"CAS CONSTRUCTION","Kilkenny","Garrin Green",6,"SOS Kilkenny Housing Association Ltd","","","","","","Q4-2018"
1195,"CAS CONSTRUCTION","Kilkenny","Hazelbrook, Newrath",2,"Waterford Dove Housing Association","","","","","","Q1-2018"
1196,"CAS CONSTRUCTION","Kilkenny","Good Shepherd Centre - Wing 1952",12,"The Good Shepherd Centre (Kilkenny) Ltd","","","","","","Q4-2018"
1197,"CAS CONSTRUCTION","Kilkenny","Brooke House, Thomastown",5,"Camphill Communities of Ireland","","","","","","Q3-2017"
1198,"CAS CONSTRUCTION","Kilkenny","Friary Walk, Callan",12,"Cluid Housing Association","","","","","","Q3-2016"
1199,"CAS CONSTRUCTION","Kilkenny","Garden Cottage, The Workhouse, Callan",1,"Camphill Communities of Ireland","","","","","","Q4-2017"
1200,"CAS CONSTRUCTION","Kilkenny","Red Barn, Patrick Street, Ballyragget",12,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1201,"CAS CONSTRUCTION","Kilkenny","Smith's Road, Ballyraggett",4,"Oaklee Housing Trust","","","","","","Q4-2018"
1202,"CAS CONSTRUCTION","Kilkenny","Fennelly's Lane Jerpoint",2,"Camphill Communities of Ireland","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
1203,"CAS CONSTRUCTION","Kilkenny","8/9 Kilkenny Street, Castlecomer",3,"Good Shepherd Services Ltd","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1204,"CAS CONSTRUCTION","Kilkenny","19/21 Blackmill Street, Kilkenny",12,"Good Shepherd Services Ltd","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
1205,"CAS CONSTRUCTION","Kilkenny","Brother Thomas Place, Church Lane, Kilkenny",12,"Good Shepherd Services Ltd","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1206,"CAS CONSTRUCTION","Kilkenny","Bridge Street, Callan",6,"Good Shepherd Services Ltd","","","","","","Q4-2019"
1207,"CAS CONSTRUCTION","Kilkenny","Grennan Villa, Thomastown",5,"Camphill Communities of Ireland","","","","","Q3-2020",""
1208,"CAS CONSTRUCTION","Kilkenny","Fiennes Court, William Street, Kilkenny",7,"Good Shepherd Services Ltd","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
1209,"CAS CONSTRUCTION","Kilkenny","St. John of god Convent, College Road, Kilkenny",12,"Sophia Housing Association Ltd","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1210,"CAS CONSTRUCTION","Kilkenny","The Round House, Kells, Co. Kilkenny",4,"SOS Kilkenny Housing Association Ltd","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1211,"CAS CONSTRUCTION","Kilkenny","Ladywell Street, Thomastown, Co. Kilkenny",6,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1212,"CAS CONSTRUCTION","Kilkenny","Dinan lodge,Suttonsrath, Jenkinstown, Co. Kilkenny",1,"Housing Agency","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
1213,"CAS CONSTRUCTION","Kilkenny","Maise Belle,Seixeslough,Newpark,Kilkenny",1,"Good Shepherd Services Ltd","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
1214,"CAS CONSTRUCTION","Kilkenny","Callan Road, Kilkenny",12,"Kilkenny Voluntary Housing Association","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
1215,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
1216,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 2)",6,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
1217,"CALF Turnkey","Kilkenny","Cois Na Bearu, Graiguenemanagh, Kilkenny (Phase 1)",14,"Co - Operative Housing Ireland Society Limited","","","","Q4-2020","",""
1218,"CALF Turnkey","Kilkenny","Golf Links Road, Kilkenny (Phase 1)*",39,"Respond","","","","","","Q4-2019"
1219,"CALF Turnkey","Kilkenny","Logan Square, Thomastown, Co Kilkenny (Phase 1)*",16,"Oaklee Housing","","","","","","Q2-2017"
1220,"CALF Turnkey","Kilkenny","Love Lane, Castlecomer, Co. Kilkenny (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2019"
1221,"CALF Turnkey","Kilkenny","Margaret's Field, Callan Road, Kilkenny City (Phase 1)",40,"Respond","","","","","Q1-2019",""
1222,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 1)",28,"Respond","","","","","","Q4-2020"
1223,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 2)*",22,"Respond","","","","","Q4-2018",""
1224,"CALF Turnkey","Kilkenny","O'Loughlin Court, Kilkenny  (Phase 1)",2,"Respond","","","","","","Q4-2018"
1225,"CALF Turnkey","Kilkenny","Orchard Close, Kilkenny (Phase 1)*",23,"Cluid Housing","","","","","Q4-2020",""
1226,"CALF Construction","Kilkenny","Park Lane, Friary Walk, Callan, Co Kilkenny (Phase 1)*",16,"Cluid Housing","","","","","","Q2-2019"
1227,"CALF Turnkey","Kilkenny","Side Road, Moneenroe, Castlecomer, Co. Kilkenny (Phase 1)",9,"Oaklee Housing","","","","","","Q3-2018"
1228,"CALF Construction","Kilkenny","Walkin St Kilkenny (Phase 1)",27,"Oaklee Housing","","","","","","Q4-2019"
1229,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",6,"*N/A","","","","","","Q4-2020"
1230,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",5,"*N/A","","","","","Q2-2020",""
1231,"SHIP CONSTRUCTION TURNKEY","Laois","Clonaslee",7,"*N/A","","","","","","Q4-2020"
1232,"SHIP CONSTRUCTION SINGLE STAGE","Laois","Harpurs Lane, Portlaoise",1,"*N/A","","","","","","Q4-2019"
1233,"SHIP CONSTRUCTION SINGLE STAGE","Laois","Hillview, Portlaoise",2,"*N/A","","","","","","Q4-2020"
1234,"SHIP CONSTRUCTION SINGLE STAGE","Laois","Coolroe, Ballybrittas",1,"*N/A","","","","","Q4-2020",""
1235,"SHIP CONSTRUCTION SINGLE STAGE","Laois","The Orchard, Stradbally",6,"*N/A","","","","","","Q1-2020"
1236,"SHIP CONSTRUCTION","Laois","Moore Street, Rathdowney",6,"*N/A","","","","","Q3-2020",""
1237,"SHIP CONSTRUCTION","Laois","Ballymorris Road, Portarlington",22,"*N/A","","","","","Q3-2019",""
1238,"SHIP CONSTRUCTION","Laois","Gleann na Glaise, Ballyroan",10,"*N/A","","","","","Q4-2020",""
1239,"SHIP CONSTRUCTION","Laois","Pattison Est. Mountmellick",10,"*N/A","","","","","Q4-2020",""
1240,"SHIP CONSTRUCTION","Laois","Shannon Street, Mountrath",6,"*N/A","","","","","Q1-2020",""
1241,"SHIP CONSTRUCTION","Laois","Conniberry Way, Old Knockmay Road, Portlaoise",33,"*N/A","","","","","","Q2-2018"
1242,"SHIP CONSTRUCTION","Laois","Harbour Court, Mountmellick",6,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1243,"SHIP CONSTRUCTION","Laois","Mooreville, Rathdowney",7,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1244,"SHIP CONSTRUCTION","Laois","Sean Doire, Cork Road, Durrow",22,"*N/A","","","","","Q4-2020",""
1245,"SHIP CONSTRUCTION","Laois","St Kieran's Park, Errill",14,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1246,"SHIP CONSTRUCTION","Laois","Clonrooske, Knockmay",11,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1247,"SHIP CONSTRUCTION","Laois","Carraig Glas, Stradbally",26,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1248,"SHIP CONSTRUCTION","Laois","Stradbally Road, Portlaoise",50,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1249,"SHIP CONSTRUCTION","Laois","Iona",9,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1250,"CAS CONSTRUCTION","Laois","Presentation Convent & Lands, Portlaoise, ",51,"Sophia Housing Association Ltd","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1251,"CALF Turnkey","Laois","Ballickmoyler, Graiguecullen, Laois (Phase 1)*",20,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
1252,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 1)",4,"Cluid Housing","","","","","","Q3-2019"
1253,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 2)",6,"Cluid Housing","","","","","","Q4-2019"
1254,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 3)",5,"Cluid Housing","","","","","","Q2-2020"
1255,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 4)*",6,"Cluid Housing","","","","","Q1-2017",""
1256,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 5)*",9,"Cluid Housing","","","","","Q1-2017",""
1257,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 1)*",9,"Túath Housing Association","","","","","","Q3-2020"
1258,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 2)*",8,"Túath Housing Association","","","","","","Q3-2020"
1259,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 3)",10,"Túath Housing Association","","","","","","Q4-2020"
1260,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 4)",9,"Túath Housing Association","","","","","Q3-2019",""
1261,"CALF Turnkey","Laois","Clonroosk Abbey, Portlaoise, Co. Laois (Phase 1)",14,"Cluid Housing","","","","","Q4-2018",""
1262,"CALF Turnkey","Laois","Clonroosk Abbey, Portlaoise, Co. Laois (Phase 2)*",6,"Cluid Housing","","","","","Q4-2018",""
1263,"CALF Turnkey","Laois","Clonroosk Abbey, Portlaoise, Co. Laois (Phase 3)",12,"Cluid Housing","","","","","Q4-2018",""
1264,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 1)",17,"Túath Housing Association","","","","","","Q3-2018"
1265,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 2)",9,"Túath Housing Association","","","","","","Q4-2018"
1266,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 3)",13,"Túath Housing Association","","","","","","Q4-2018"
1267,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 1)",2,"North & East Housing Association Ltd","","","","","","Q3-2020"
1268,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 2)",4,"North & East Housing Association Ltd","","","","","","Q4-2020"
1269,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 3)*",6,"North & East Housing Association Ltd","","","","","Q1-2019",""
1270,"CALF Turnkey","Laois","Droimnin, Stradbally, Co Laois  (Phase 1)",6,"Cluid Housing","","","","","","Q3-2018"
1271,"CALF Turnkey","Laois","Holdbrook, Portlaoise, Co. Laois (Phase 1)",10,"Cluid Housing","","","","","Q3-2018",""
1272,"CALF Turnkey","Laois","Holdbrook, Portlaoise, Co. Laois (Phase 2)",10,"Cluid Housing","","","","","Q3-2018",""
1273,"CALF Construction","Laois","Kirwan Park, Mountmellick, Co Laois  (Phase 1)",2,"Cluid Housing","","","","","","Q2-2018"
1274,"CALF Turnkey","Laois","Knockmay Mews, Old Knockmay Road, Portlaoise, Co. Laois (Phase 1)",3,"Túath Housing Association","","","","","","Q3-2020"
1275,"CALF Turnkey","Laois","Lake Drive, Kilminchy, Portlaoise, Co. Laois (Phase 1)",8,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1276,"CALF Turnkey","Laois","Lake Drive, Kilminchy, Portlaoise, Co. Laois (Phase 2)",2,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1277,"CALF Turnkey","Laois","Main Street, Stradbally, Co. Laois (Phase 1)",16,"North & East Housing Association Ltd","","","","","","Q3-2020"
1278,"CALF Turnkey","Laois","Phase 2 The Glen, Kilnacourt, Portarlington, Co Laois (Phase 1)",18,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1279,"CALF Construction","Laois","POST TENDER - Cluinin  Mountrath, Co. Laois (Phase 1)",11,"Oaklee Housing","","","","","","Q1-2018"
1280,"CALF Turnkey","Laois","South Dublin Road, Portlaoise, Co. Laois (Phase 1)",13,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1281,"CALF Turnkey","Laois","South Dublin Road, Portlaoise, Co. Laois (Phase 2)",14,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1282,"CALF Turnkey","Laois","South Dublin Road, Portlaoise, Co. Laois (Phase 3)*",9,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1283,"CALF Turnkey","Laois","Spa Street, Droughill, Portarlington, Co. Laois (Phase 1)*",26,"Oaklee Housing","","","","","Q4-2020",""
1284,"CALF Turnkey","Laois","The Glen, Kilnacourt, Portarlington, Co. Laois (Phase 1)",18,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2020"
1285,"CALF Turnkey","Laois","The Meadows, Mountrath Road, Portlaoise, Co. Laois (Phase 1)*",48,"Cluid Housing","","","","Q4-2020","",""
1286,"CALF Turnkey","Laois","Wilton Lawns, Portarlington, Co. Laois (Phase 1)",2,"Respond","","","","Q4-2019","",""
1287,"SHIP CONSTRUCTION TURNKEY","Leitrim","Roosky",7,"*N/A","","","","","","Q4-2019"
1288,"SHIP CONSTRUCTION TURNKEY","Leitrim","Drumshanbo",9,"*N/A","","","","","","Q3-2019"
1289,"SHIP CONSTRUCTION TURNKEY","Leitrim","Church Lane, Ballinamore",9,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1290,"SHIP CONSTRUCTION TURNKEY","Leitrim","1 & 2 Druminshingore, Newtowngore",2,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1291,"SHIP CONSTRUCTION TURNKEY","Leitrim","Carraig Breac, Drumshanbo",5,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1292,"SHIP CONSTRUCTION TURNKEY","Leitrim","Oakgrove, Kinlough",5,"*N/A","","","","","","Q4-2020"
1293,"SHIP CONSTRUCTION TURNKEY","Leitrim","Ard na Drise, Mohill",3,"*N/A","","","","","","Q4-2020"
1294,"SHIP CONSTRUCTION TURNKEY","Leitrim","Ard na Drise, Mohill -  Phase 2",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1295,"SHIP CONSTRUCTION TURNKEY","Leitrim","Lough Meen Estate, Drumkeerin",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1296,"SHIP CONSTRUCTION TURNKEY","Leitrim","Commons Lane, Manorhamilton",4,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1297,"SHIP CONSTRUCTION","Leitrim","Autumn View, Summerhill, Carrick on Shannon",27,"*N/A","","","","","Q4-2019",""
1298,"SHIP CONSTRUCTION","Leitrim","Taobh Tire, Manorhamilton (Phase 2)",7,"*N/A","","","","","","Q4-2018"
1299,"SHIP CONSTRUCTION","Leitrim","Taobh Tire, Manorhamilton (Phase 3)",5,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1300,"SHIP CONSTRUCTION","Leitrim","Townparks, Carrick on Shannon",12,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1301,"SHIP CONSTRUCTION","Leitrim","Lahard, Ballinamore",10,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
1302,"CAS CONSTRUCTION","Leitrim","Ballinamore",2,"Society of Saint Vincent de Paul","","","","","","Q4-2017"
1303,"CALF Turnkey","Leitrim","Cnoc an Luir, Drumshanbo, Co. Leitrim (Phase 1)",10,"Túath Housing Association","","","","","","Q4-2019"
1304,"SHIP CONSTRUCTION TURNKEY","Limerick","Woodlawn Park, Ballysimon Road, Limerick",9,"*N/A","","","","","","Q4-2019"
1305,"SHIP CONSTRUCTION TURNKEY","Limerick","Woodlawn Park (Phase 2), Ballysimon Road, ",1,"*N/A","","","","","","Q4-2019"
1306,"SHIP CONSTRUCTION TURNKEY","Limerick","Carraig Desmond, Newcastle West",8,"*N/A","","","","","","Q4-2019"
1307,"SHIP CONSTRUCTION TURNKEY","Limerick","Knocklong",2,"*N/A","","","","","","Q4-2020"
1308,"SHIP CONSTRUCTION TURNKEY","Limerick","Carraig Desmond",2,"*N/A","","","","","","Q4-2019"
1309,"SHIP CONSTRUCTION TURNKEY","Limerick","Redgate Close, Old Cratloe Road, Limerick City",14,"*N/A","","","","","Q1-2020",""
1310,"SHIP CONSTRUCTION TURNKEY","Limerick","The Orchard, Main Street, Pallaskenry",8,"*N/A","","","","","Q1-2020",""
1311,"SHIP CONSTRUCTION TURNKEY","Limerick","Gortboy, Charleville Road, kIlmallock",33,"*N/A","","","","","Q4-2020",""
1312,"SHIP CONSTRUCTION TURNKEY","Limerick","The Orchard, Main Street, Pallaskenry",8,"*N/A","","","","","Q1-2020",""
1313,"SHIP CONSTRUCTION RAPID","Limerick","Faha View, Patrickswell",16,"*N/A","","","","","","Q4-2019"
1314,"SHIP CONSTRUCTION RAPID","Limerick","Old Christians Site, Rathbane",43,"*N/A","","","","","Q2-2020",""
1315,"SHIP CONSTRUCTION","Limerick","Patrick's Villas, Castleconnell",4,"*N/A","","","","","","Q4-2020"
1316,"SHIP CONSTRUCTION","Limerick","Ballysimon, Greenhill Road ",14,"*N/A","","","","","Q1-2020",""
1317,"SHIP CONSTRUCTION","Limerick","Gough Place, Rosbrien Road, Limerick",17,"*N/A","","","","","Q4-2020",""
1318,"SHIP CONSTRUCTION","Limerick","Burke Avenue, Limerick City",12,"*N/A","","","","","","Q4-2019"
1319,"SHIP CONSTRUCTION","Limerick","Fannings Corner, Limerick City",3,"*N/A","","","","","","Q4-2019"
1320,"SHIP CONSTRUCTION","Limerick","Wallers Well, Limerick City (Phase 2)",13,"*N/A","","","","","","Q4-2020"
1321,"SHIP CONSTRUCTION","Limerick","Clonmacken, Limerick City",43,"*N/A","","","","","Q3-2019",""
1322,"SHIP CONSTRUCTION","Limerick","Deerpark, Adare",30,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1323,"SHIP CONSTRUCTION","Limerick","Glenview Drive, Hospital",20,"*N/A","","","","","Q3-2020",""
1324,"SHIP CONSTRUCTION","Limerick","Clare Street, Limerick City",7,"*N/A","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
1325,"SHIP CONSTRUCTION","Limerick","Hasset Villas, Thomondgate",3,"*N/A","","","","","","Q4-2018"
1326,"SHIP CONSTRUCTION","Limerick","Kilmurry Court, Garryowen",7,"*N/A","","","","","","Q4-2019"
1327,"SHIP CONSTRUCTION","Limerick","Rathbane Road, Limerick City",2,"*N/A","","","","","","Q1-2019"
1328,"SHIP CONSTRUCTION","Limerick","Sycamore Avenue, Limerick City",5,"*N/A","","","","","","Q3-2019"
1329,"SHIP CONSTRUCTION","Limerick","Lower Carey's Road, Limerick City",11,"*N/A","","","","","Q1-2020",""
1330,"SHIP CONSTRUCTION","Limerick","Kileely Road, Moyross",5,"*N/A","","","","","Q2-2020",""
1331,"SHIP CONSTRUCTION","Limerick","Clare Street, Limerick City",2,"*N/A","","","","","","Q4-2017"
1332,"SHIP CONSTRUCTION","Limerick","Knocklong",12,"*N/A","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
