"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
638,"CALF TURNKEY","Dublin City","Crumlin Village, Dublin 12 (Phase 2)",2,"Cluid Housing","","","","","","Q3-2017"
639,"CALF CONSTRUCTION","Dublin City","Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
640,"CALF TURNKEY","Dublin City","Donnybrook Gardens, Lands of Greenfield Park, Donnybrook, Dublin 4 (Phase 1)*",4,"RHD Housing","","","","","Q1-2018",""
641,"CALF TURNKEY","Dublin City","Elanora Court, Long Mile Road, Walkinstown, Dublin 12 (Phase 1)*",153,"Respond","","","","","Q3-2020",""
642,"CALF CONSTRUCTION","Dublin City","Harolds Cross, Dublin 6 (Phase 1)",28,"Focus Housing Association CLG","","","","","","Q4-2016"
643,"CALF TURNKEY","Dublin City","Harolds Cross, Dublin 6W (Phase 1)",12,"Respond","","","","Q2-2020","",""
644,"CALF TURNKEY","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 1)",1,"T�ath Housing Association","","","","","","Q4-2019"
645,"CALF TURNKEY","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 2)",2,"T�ath Housing Association","","","","","Q4-2019",""
646,"CALF TURNKEY","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 3)",2,"T�ath Housing Association","","","","","Q4-2019",""
647,"CALF TURNKEY","Dublin City","Merville Court, Merville Avenue, Fairview (Phase 1)",5,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2017"
648,"CALF TURNKEY","Dublin City","Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,"Cluid Housing","","","","","","Q4-2017"
649,"CALF TURNKEY","Dublin City","Mountjoy Square North, Dublin 1 (Phase 1)",31,"Respond","","","","","","Q4-2019"
650,"CALF CONSTRUCTION","Dublin City","North King Street, Dublin 7  (Phase 1)",30,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
651,"CALF TURNKEY","Dublin City","Old School House Lane, Magenta Crescent, Santry, Dublin 9 (Phase 1)",8,"T�ath Housing Association","","","","","","Q4-2019"
652,"CALF CONSTRUCTION","Dublin City","Orchard Lawns, Ballyfermot (Phase 1)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
653,"CALF CONSTRUCTION","Dublin City","Orchard Lawns, Ballyfermot (Phase 2)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
654,"CALF CONSTRUCTION","Dublin City","Post Tender - Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,"Cluid Housing","","","","","","Q4-2019"
655,"CALF CONSTRUCTION","Dublin City","Post Tender Johns Lane West Dublin 8 (Phase 1)",31,"Focus Housing Association CLG","","","","","","Q4-2018"
656,"CALF CONSTRUCTION","Dublin City","POST TENDER, Poplar Row, Ballybough, Dublin 3 (Phase 1)",29,"Oaklee Housing","","","","","","Q4-2019"
657,"CALF TURNKEY","Dublin City","Ravensdale Court, Kimmage, Dublin 12. (Phase 1)",12,"T�ath Housing Association","","","","Q2-2020","",""
658,"CALF CONSTRUCTION","Dublin City","Revised - Dominic Place, Dublin (Phase 1)",9,"The Paddy McGrath Housing Project","","","","","","Q3-2020"
659,"CALF CONSTRUCTION","Dublin City","Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,"T�ath Housing Association","","","","","","Q4-2019"
660,"CALF CONSTRUCTION","Dublin City","Revised, St Mary�s Mansions, Dublin 1 (Phase 1)",80,"Cluid Housing","","","","","","Q4-2019"
661,"CALF CONSTRUCTION","Dublin City","Richmond Road, Dublin 9 (Phase 1)",40,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
662,"CALF TURNKEY","Dublin City","Royal Canal Crescent, Rathborne Park, Rathborne, Dublin15 (Phase 1)*",16,"Cluid Housing","","","","","Q1-2019",""
663,"CALF TURNKEY","Dublin City","Royal Canal Park, Ashtown, Dublin 15 (Phase 1)*",46,"Respond","","","","","Q1-2019",""
664,"CALF TURNKEY","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",44,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
665,"CALF TURNKEY","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",6,"Fold Housing Association Ireland Ltd","","","","","Q1-2018",""
666,"CALF TURNKEY","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 2)",42,"Fold Housing Association Ireland Ltd","","","","","","Q2-2020"
667,"CALF TURNKEY","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 3)",11,"Fold Housing Association Ireland Ltd","","","","","Q1-2018",""
668,"CALF TURNKEY","Dublin City","Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,"Oaklee Housing","","","","","","Q3-2018"
669,"CALF TURNKEY","Dublin City","Sundrive Mews, Kimmage, Dublin 12 (Phase 1)",9,"Cluid Housing","","","","","","Q4-2019"
670,"CALF TURNKEY","Dublin City","Thornwood, Beaumont (Phase 1)",28,"T�ath Housing Association","","","","","","Q2-2016"
671,"CALF TURNKEY","Dublin City","Thornwood, Beaumont (Phase 2)",18,"T�ath Housing Association","","","","","","Q4-2016"
672,"CALF TURNKEY","Dublin City","Thornwood, Beaumont (Phase 3)",14,"T�ath Housing Association","","","","","","Q1-2017"
673,"CALF TURNKEY","Dublin City","Thornwood, Beaumont (Phase 4)",8,"T�ath Housing Association","","","","","","Q1-2017"
674,"CALF TURNKEY","Dublin City","Tonlegee Road, Dublin 5  (Phase 1)",47,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
675,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Ayrfield, Malahide Road",150,"*N/A","","","","","Q1-2019",""
676,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Scribblestown",70,"*N/A","","","","","Q1-2019",""
677,"SHIP CONSTRUCTION TURNKEY","Fingal","Blackmills Grove, Blakestown Road, Mulhuddard",10,"*N/A","","","","","","Q2-2017"
678,"SHIP CONSTRUCTION TURNKEY","Fingal","Balgriffin Grove, Malahide Road, Balgriffin",6,"*N/A","","","","","","Q1-2017"
679,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",36,"*N/A","","","","","","Q3-2017"
680,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q1-2018"
681,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q2-2018"
682,"SHIP CONSTRUCTION TURNKEY","Fingal","Ravenswood, North Road, Finglas",2,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
683,"SHIP CONSTRUCTION TURNKEY","Fingal","Boroimhe, Swords",6,"*N/A","","","","","","Q3-2018"
684,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
685,"SHIP CONSTRUCTION TURNKEY","Fingal","Kenure Gate, Park Road, Rush",4,"*N/A","","","","","","Q4-2018"
686,"SHIP CONSTRUCTION TURNKEY","Fingal","Glaslinn, Donabate",3,"*N/A","","","","","","Q4-2018"
687,"SHIP CONSTRUCTION TURNKEY","Fingal","Bremore Pastures Park, Balbriggan",4,"*N/A","","","","","","Q4-2018"
688,"SHIP CONSTRUCTION TURNKEY","Fingal","Northwood Green, Santry, Dublin 9",37,"*N/A","","","","","","Q4-2018"
689,"SHIP CONSTRUCTION TURNKEY","Fingal","Hollytown Cottages",4,"*N/A","","","","","","Q4-2019"
690,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh Ballyboughal Co. Dublin",5,"*N/A","","","","","","Q3-2019"
691,"SHIP CONSTRUCTION TURNKEY","Fingal","Rahillion, Donabate",1,"*N/A","","","","","","Q4-2019"
692,"SHIP CONSTRUCTION TURNKEY","Fingal","Bay Meadows, Hollystown, Dublin 15",10,"*N/A","","","","","","Q3-2020"
693,"SHIP CONSTRUCTION","Fingal","Outlands, Rathbeale Road, Swords, Co.Dublin",11,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
694,"SHIP CONSTRUCTION RAPID","Fingal","Avondale, Mulhuddart, Dublin 15",42,"*N/A","","","","","","Q4-2019"
695,"SHIP CONSTRUCTION RAPID","Fingal","Pinewood, Balbriggan",20,"*N/A","","","","","","Q2-2018"
696,"SHIP CONSTRUCTION RAPID","Fingal","Wellview, Mulhuddart",20,"*N/A","","","","","","Q4-2017"
697,"SHIP CONSTRUCTION RAPID","Fingal","Church Road, Mulhuddart, Dublin 15",22,"*N/A","","","","","","Q4-2019"
698,"SHIP CONSTRUCTION RAPID","Fingal","Churchfields, Phase 2B, Mulhuddart, Dublin 15.",51,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
699,"SHIP CONSTRUCTION","Fingal","Rivermeade, St. Margarets",2,"*N/A","","","","","","Q2-2019"
700,"SHIP CONSTRUCTION","Fingal","Rowlestown",10,"*N/A","","","","","","Q2-2019"
701,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",5,"*N/A","","","","","","Q2-2018"
702,"SHIP CONSTRUCTION","Fingal","Castlelands, Park View, Balbriggan (Phase 3)",24,"*N/A","","","","","","Q1-2019"
703,"SHIP CONSTRUCTION","Fingal","Rathbeale Road, Swords",24,"*N/A","","","","","","Q2-2020"
704,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",2,"*N/A","","","","","","Q3-2017"
705,"SHIP CONSTRUCTION","Fingal","Cappaghfinn (Phase 1)",14,"*N/A","","","","","","Q2-2016"
706,"SHIP CONSTRUCTION","Fingal","St. Cronan's Green, Swords",14,"*N/A","","","","","","Q2-2016"
707,"SHIP CONSTRUCTION","Fingal","St. Cronan's Cottages, Swords - Infill",1,"*N/A","","","","","","Q2-2016"
708,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2017"
709,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
710,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",15,"*N/A","","","","","","Q1-2018"
711,"SHIP CONSTRUCTION","Fingal","Redevelopment of Community Centre, Pinewood, Balbriggan",2,"*N/A","","","","","","Q3-2019"
712,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",4,"*N/A","","","","","","Q3-2018"
713,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2018"
714,"SHIP CONSTRUCTION","Fingal","Tucketts Lane, Howth, Co Dublin",8,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
715,"SHIP CONSTRUCTION","Fingal","Wellview Infill",20,"*N/A","","","","","Q3-2020",""
716,"SHIP CONSTRUCTION","Fingal","Rowlestown",6,"*N/A","","","","","","Q4-2019"
717,"SHIP CONSTRUCTION","Fingal","Rowlestown",6,"*N/A","","","","","","Q4-2019"
718,"SHIP CONSTRUCTION","Fingal","Cappagh Lands, Cappagh Road Finglas",69,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
719,"SHIP CONSTRUCTION","Fingal","Rowlestown",4,"*N/A","","","","","","Q3-2019"
720,"SHIP CONSTRUCTION","Fingal","Leonards Garage, Lusk, Co. Dublin",10,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
721,"SHIP CONSTRUCTION","Fingal","Church Road, Lusk",5,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
722,"SHIP CONSTRUCTION","Fingal","Churchfields, Phase 2B, Mulhuddart, Dublin 15.",19,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
723,"CAS CONSTRUCTION","Fingal","Killhedge Lane Dun Emer",48,"T�ath Housing Association Ltd","Stage 1 approved Q1-2017, outline design and costs being prepared.","","","","",""
724,"CAS CONSTRUCTION","Fingal","Ravenswood, North Road, Finglas",6,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
725,"CAS CONSTRUCTION","Fingal","22 College Street, Baldoyle",4,"Cluid Housing Association","","","","","Q3-2020",""
726,"CAS CONSTRUCTION","Fingal","Darcystown, Ringfort, Balrothery",9,"North ? East Housing Association Ltd","","","","","","Q3-2017"
727,"CAS CONSTRUCTION","Fingal","Estuary Road, Malahide",8,"Society of Saint Vincent de Paul","","","","","","Q2-2018"
728,"CAS CONSTRUCTION","Fingal","Garristown, Co. Dublin",5,"North ? East Housing Association Ltd","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
729,"CALF TURNKEY","Fingal","4 units, Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
730,"CALF TURNKEY","Fingal","Allendale Square, Clonsilla, Dublin 15 (Phase 1)*",28,"Respond","","","","","","Q2-2020"
731,"CALF TURNKEY","Fingal","An Muileann, Kettles Lane, Swords, Dublin (Phase 1)",24,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2019"
732,"CALF TURNKEY","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",12,"T�ath Housing Association","","","","","","Q4-2018"
733,"CALF TURNKEY","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 2)*",12,"T�ath Housing Association","","","","","","Q4-2018"
734,"CALF TURNKEY","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 1)",18,"T�ath Housing Association","","","","","Q4-2019",""
735,"CALF TURNKEY","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 2)",15,"T�ath Housing Association","","","","","Q4-2019",""
736,"CALF TURNKEY","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 3)",16,"T�ath Housing Association","","","","","Q4-2019",""
737,"CALF TURNKEY","Fingal","Carrs Lane, Malahide Road, Dublin 17 (Phase 1)*",59,"Respond","","","","","Q4-2019",""
738,"CALF TURNKEY","Fingal","Castlegrange Park (2) Clonsilla (Phase 1)",5,"T�ath Housing Association","","","","","","Q2-2016"
739,"CALF TURNKEY","Fingal","Castlegrange Park (2) Clonsilla (Phase 2)",7,"T�ath Housing Association","","","","","","Q3-2016"
740,"CALF TURNKEY","Fingal","Castlegrange Park (2) Clonsilla (Phase 3)",7,"T�ath Housing Association","","","","","","Q4-2016"
741,"CALF TURNKEY","Fingal","Castlegrange Park (2) Clonsilla (Phase 4)",21,"T�ath Housing Association","","","","","","Q1-2017"
742,"CALF TURNKEY","Fingal","Castlegrange Park (2) Clonsilla (Phase 5)",8,"T�ath Housing Association","","","","","","Q2-2017"
743,"CALF TURNKEY","Fingal","Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 1)*",138,"Respond","","","","","Q3-2019",""
744,"CALF TURNKEY","Fingal","Cois Sruthan, Ballyboughal, Co.Dublin (Phase 1)*",17,"Oaklee Housing","","","","","","Q3-2020"
745,"CALF TURNKEY","Fingal","Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 1)",11,"T�ath Housing Association","","","","","","Q4-2019"
746,"CALF TURNKEY","Fingal","Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 2)*",6,"T�ath Housing Association","","","","","Q1-2019",""
747,"CALF TURNKEY","Fingal","Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin\n\n (Phase 1)*",10,"Cluid Housing","","","","","","Q2-2020"
748,"CALF TURNKEY","Fingal","Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin\n\n (Phase 2)*",5,"Cluid Housing","","","","","Q3-2018",""
749,"CALF TURNKEY","Fingal","Knightsgate, Rush, Co. Dublin (Phase 1)*",38,"Cluid Housing","","","","","","Q4-2019"
750,"CALF TURNKEY","Fingal","Knightsgate, Rush, Co. Dublin (phase 2) (Phase 1)",19,"Cluid Housing","","","","","","Q3-2020"
751,"CALF CONSTRUCTION","Fingal","Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,"Cluid Housing","","","","","Q4-2018",""
752,"CALF TURNKEY","Fingal","Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,"Cluid Housing","","","","","","Q4-2018"
753,"CALF TURNKEY","Fingal","Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,"Respond","","","","","","Q3-2018"
754,"CALF TURNKEY","Fingal","Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)*",28,"The Iveagh Trust","","","","","Q3-2018",""
755,"CALF TURNKEY","Fingal","Millers Glen, Phase 3, Oldtown, Swords (Phase 1)*",14,"The Iveagh Trust","","","","","","Q4-2019"
756,"CALF TURNKEY","Fingal","Norseman's Court, Norseman's Walk, Lusk Village, Lusk, Co. Dublin (Phase 1)*",18,"Cluid Housing","","","","","Q4-2018",""
757,"CALF TURNKEY","Fingal","Northwood Green, Santry, Dublin 9 (Phase 1)*",6,"Respond","","","","","","Q4-2018"
758,"CALF TURNKEY","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 1)",48,"Respond","","","","","","Q4-2019"
759,"CALF TURNKEY","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 2)*",7,"Respond","","","","","","Q2-2020"
760,"CALF CONSTRUCTION","Fingal","Old Coolock Lane, Santry, Dublin 9 (Phase 1)",28,"Circle Voluntary Housing Association Ltd","","","","Q1-2019","",""
761,"CALF TURNKEY","Fingal","Old Corduff Road, Blanchardstown, Dublin 15 (Phase 1)*",28,"Respond","","","","","Q4-2018",""
762,"CALF TURNKEY","Fingal","Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,"T�ath Housing Association","","","","","","Q3-2019"
763,"CALF TURNKEY","Fingal","Phoenix Park Avenue, Castleknock, Dublin 15 (Phase 1)*",31,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
764,"CALF TURNKEY","Fingal","Riverwood Square, Dublin 15 (Phase 1)*",24,"Cluid Housing","","","","","Q4-2019",""
765,"CALF TURNKEY","Fingal","Seamus Ennis Terrace, Naul, Co. Dublin (Phase 1)",2,"Respond","","","","","Q3-2017",""
766,"CALF TURNKEY","Fingal","Semple Woods, Donabate, North County Dublin (Phase 1)*",30,"T�ath Housing Association","","","","","","Q4-2019"
767,"CALF TURNKEY","Fingal","St Marnock�s Bay, Portmarnock, Co Dublin   (Phase 1)*",10,"Cluid Housing","","","","","","Q4-2017"
768,"CALF TURNKEY","Fingal","St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1)*",18,"T�ath Housing Association","","","","","","Q4-2017"
769,"CALF TURNKEY","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
770,"CALF TURNKEY","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 2)*",8,"Circle Voluntary Housing Association Ltd","","","","","Q4-2017",""
771,"CALF TURNKEY","Fingal","Taylor Hill Crescent, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
772,"CALF TURNKEY","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",21,"Cluid Housing","","","","","","Q2-2020"
773,"CALF TURNKEY","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,"Cluid Housing","","","","","","Q4-2018"
774,"CALF TURNKEY","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",24,"Cluid Housing","","","","","","Q4-2019"
775,"CALF TURNKEY","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 2)",1,"Cluid Housing","","","","","Q1-2019",""
776,"CALF TURNKEY","Fingal","The Forge, Lusk, Co. Dublin (Phase 1)",8,"Oaklee Housing","","","","","","Q4-2019"
777,"CALF TURNKEY","Fingal","The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,"Cluid Housing","","","","","","Q4-2017"
778,"CALF TURNKEY","Fingal","Waterside, Malahide, Dublin (Phase 1)",5,"Cluid Housing","","","","","Q3-2017",""
779,"CALF TURNKEY","Fingal","Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
780,"CALF TURNKEY","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 1)",24,"Oaklee Housing","","","","","","Q4-2019"
781,"CALF TURNKEY","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 2)*",10,"Oaklee Housing","","","","","","Q3-2020"
782,"CALF TURNKEY","Fingal"," Wrens Hill, (Formerly The Galleries),  Donabate, Co. Dublin (Phase 1)",43,"Oaklee Housing","","","","","","Q4-2019"
783,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road (Phase 1)",6,"*N/A","","","","","","Q3-2019"
784,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 2)",16,"*N/A","","","","","","Q4-2019"
785,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 3)",7,"*N/A","","","","","","Q4-2019"
786,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 4)",13,"*N/A","","","","","","Q3-2020"
787,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 5)",8,"*N/A","","","","","Q4-2018",""
788,"SHIP CONSTRUCTION TURNKEY","Galway City","Garra� Caol, (Coast Road Site) Dublin Road",27,"*N/A","","","","","Q1-2020",""
789,"SHIP CONSTRUCTION TURNKEY","Galway City","Garra� Caol (Coast Road Site) Dublin Road",26,"*N/A","","","","","Q1-2020",""
790,"SHIP CONSTRUCTION","Galway City","Ard Cr�, Ballymoneen Road (Phase 2)",78,"*N/A","","","","","Q2-2019",""
791,"SHIP CONSTRUCTION","Galway City","Ard Cr�, Ballymoneen Road (Phase 1)",14,"*N/A","","","","","","Q2-2018"
792,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More",15,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
793,"SHIP CONSTRUCTION","Galway City","Garra� Beag, Monivea Road, Ballybaan More",58,"*N/A","","","","","Q1-2020",""
794,"SHIP CONSTRUCTION","Galway City","Headford Road, Castlegar",69,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
795,"SHIP CONSTRUCTION","Galway City","Keeraun, Ballymoneen Road",60,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
796,"SHIP CONSTRUCTION","Galway City","Clareview Park, Ballybaan",5,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
797,"SHIP CONSTRUCTION","Galway City","Merlin Park Lands, Galway City",18,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
798,"CAS CONSTRUCTION","Galway City","97/98 Rockfield",4,"Carraig Dubh Housing Association","","","","","","Q1-2018"
799,"CAS CONSTRUCTION","Galway City","Cul Garrai, Rahoon",6,"Peter Triest Housing Association Ltd","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
800,"CAS CONSTRUCTION","Galway City","47 Forster Street, Galway City (Domestic Violence Refuge)",9,"Cope Galway","","","","","","Q4-2019"
801,"CAS CONSTRUCTION","Galway City","Doughiska, Galway City",7,"Respond","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
802,"CALF TURNKEY","Galway City","Belmont, Renmore, Galway City (Phase 1)*",16,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
803,"CALF TURNKEY","Galway City","Block C, Sraith Fhada, Doughiska, Galway (Phase 1)",11,"T�ath Housing Association","","","","","Q2-2008",""
804,"CALF TURNKEY","Galway City","Block D, Sraith Fhada, Doughiska, Galway (Phase 1)",14,"T�ath Housing Association","","","","","","Q4-2019"
805,"CALF TURNKEY","Galway City","Boireann Beag, Ros Cam, Galway (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
806,"CALF TURNKEY","Galway City","Breacan, Letteragh Road, Galway City (Phase 1)*",2,"T�ath Housing Association","","","","","","Q4-2019"
807,"CALF TURNKEY","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 1)",7,"Respond","","","","","","Q4-2019"
808,"CALF TURNKEY","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 2)*",8,"Respond","","","","","","Q3-2020"
809,"CALF TURNKEY","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 1)",10,"Respond","","","","","","Q4-2019"
810,"CALF TURNKEY","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 2)",63,"Respond","","","","","Q2-2018",""
811,"CALF TURNKEY","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 3)",8,"Respond","","","","","Q2-2018",""
812,"CALF TURNKEY","Galway City","Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,"Cluid Housing","","","","","","Q3-2017"
813,"CALF TURNKEY","Galway City","Creig Ard, Roscam, Galway City  (Phase 1)",9,"Cluid Housing","","","","","Q4-2019",""
814,"CALF TURNKEY","Galway City","Creig Ard, Roscam, Galway City  (Phase 2)",10,"Cluid Housing","","","","","Q4-2019",""
815,"CALF TURNKEY","Galway City","Creig Ard, Roscam, Galway City, Co. Galway (Phase 1)*",17,"Cluid Housing","","","","","Q4-2019",""
816,"CALF TURNKEY","Galway City","Gaelcarrig, Letteragh, Galway City (Phase 1)*",83,"Respond","","","","","Q3-2020",""
817,"CALF TURNKEY","Galway City","Leana Theas, Cappagh Road, Galway City (Phase 1)*",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
818,"CALF TURNKEY","Galway City","Letteragh Road, Rahoon, Galway City (Phase 1)*",10,"Cluid Housing","","","","","Q3-2020",""
819,"CALF TURNKEY","Galway City","Letteragh Road, Rahoon, Galway City (Phase 2)",13,"Cluid Housing","","","","","Q3-2020",""
820,"CALF TURNKEY","Galway City","Letteragh Road, Rahoon, Galway City (Phase 3)",16,"Cluid Housing","","","","","Q3-2020",""
821,"CALF TURNKEY","Galway City","Letteragh Road, Rahoon, Galway City (Phase 4)*",25,"Cluid Housing","","","","","Q3-2020",""
822,"CALF TURNKEY","Galway City","Maigh Rua, Doughiska, Galway  (Phase 1)",23,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2017"
823,"CALF TURNKEY","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,"T�ath Housing Association","","","","","","Q1-2017"
824,"CALF TURNKEY","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,"T�ath Housing Association","","","","","","Q4-2017"
825,"CALF TURNKEY","Galway City","Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,"T�ath Housing Association","","","","","","Q3-2018"
826,"CALF TURNKEY","Galway City","Reilean, Roscam, Block 5 Galway (Phase 1)*",12,"T�ath Housing Association","","","","","","Q2-2017"
827,"CALF TURNKEY","Galway City","Reilean, Roscam,Block 4 Galway (Phase 1)*",12,"T�ath Housing Association","","","","","","Q2-2017"
828,"CALF TURNKEY","Galway City","Revised Murrough, Renmore, Galway  (Phase 1)*",20,"Cluid Housing","","","","","","Q1-2019"
