"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1043,"CALF TURNKEY","Kildare","Bellingsfield, Naas, Kildare (Phase 1)*",10,"Respond","","","","","","Q4-2018"
1044,"CALF TURNKEY","Kildare","Carton Grove, Maynooth, Co. Kildare (Phase 1)*",5,"Clanmil Housing Association Ireland","","","","","","Q4-2018"
1045,"CALF TURNKEY","Kildare","Castle Farm, Jigginstown, Naas, Co. Kildare (Phase 1)",8,"T�ath Housing Association","","","","","","Q4-2019"
1046,"CALF TURNKEY","Kildare","Castle Farm, Naas, Co. Kildare (Phase 1)*",8,"T�ath Housing Association","","","","","","Q2-2019"
1047,"CALF CONSTRUCTION","Kildare","Castlefen, Castlesize, Sallins, Co. Kildare (Phase 1)",29,"T�ath Housing Association","","","","","Q1-2020",""
1048,"CALF TURNKEY","Kildare","Cathedral Apartments, Firecastle Lane, Kildare Town, Co. Kildare (Phase 1)*",6,"Cill Dara Housing Association","","","","","","Q4-2019"
1049,"CALF TURNKEY","Kildare","Cathedral Apartments, Firecastle Lane, Kildare Town, Co. Kildare (Phase 2)*",11,"Cill Dara Housing Association","","","","","","Q4-2019"
1050,"CALF TURNKEY","Kildare","Elsmore, Jigginstown and Oakpark, Craddockstown, Naas, Kildare (Phase 1)*",26,"T�ath Housing Association","","","","","","Q4-2019"
1051,"CALF TURNKEY","Kildare","Elsmore, Jigginstown and Oakpark, Craddockstown, Naas, Kildare (Phase 2)*",17,"T�ath Housing Association","","","","","Q2-2018",""
1052,"CALF TURNKEY","Kildare","Elsmore, Jigginstown, Nass, Co. Kildare (Phase 1)*",8,"T�ath Housing Association","","","","","","Q4-2018"
1053,"CALF TURNKEY","Kildare","Elsmore, Jigginstown, Nass, Co. Kildare (Phase 2)*",3,"T�ath Housing Association","","","","","","Q3-2019"
1054,"CALF TURNKEY","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 1)",18,"T�ath Housing Association","","","","","","Q1-2019"
1055,"CALF TURNKEY","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 2)",6,"T�ath Housing Association","","","","","","Q1-2019"
1056,"CALF TURNKEY","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 3)",6,"T�ath Housing Association","","","","","","Q1-2019"
1057,"CALF TURNKEY","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 4)",6,"T�ath Housing Association","","","","","","Q2-2019"
1058,"CALF TURNKEY","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 5)",4,"T�ath Housing Association","","","","","","Q2-2019"
1059,"CALF TURNKEY","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 6)",5,"T�ath Housing Association","","","","","","Q3-2019"
1060,"CALF TURNKEY","Kildare","Fenton Green, Kilcock, Co Kildare  (Phase 7)*",18,"T�ath Housing Association","","","","","","Q4-2019"
1061,"CALF CONSTRUCTION","Kildare","Flinters Field (Phase 2), Athy, Co. Kildare (Phase 1)",35,"Respond","","","","Q2-2020","",""
1062,"CALF TURNKEY","Kildare","Grand Canal Wood, Allenwood, Co. Kildare (Phase 1)*",21,"Cluid Housing","","","","","Q3-2018",""
1063,"CALF TURNKEY","Kildare","Grand Canal Wood, Allenwood, Co. Kildare (Phase 2)",19,"Cluid Housing","","","","","Q3-2018",""
1064,"CALF TURNKEY","Kildare","Hawthorn Manor, Brockagh, Coill Dubh, Co. Kildare (Phase 1)*",5,"Oaklee Housing","","","","","","Q4-2019"
1065,"CALF TURNKEY","Kildare","Kilbelin Abbey, Kildare, Phase 1 (Phase 1)*",4,"Cluid Housing","","","","","Q2-2019",""
1066,"CALF TURNKEY","Kildare","Kilbelin Abbey, Kildare, Phase 2 (Phase 1)*",4,"Cluid Housing","","","","","Q2-2019",""
1067,"CALF TURNKEY","Kildare","Ledwill Park, Kilcock, Co. Kildare (Phase 1)*",31,"Cluid Housing","","","","","","Q4-2019"
1068,"CALF TURNKEY","Kildare","Loughlion, Kildare Town, Kildare (Phase 1)",14,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1069,"CALF TURNKEY","Kildare","Loughlion, Kildare Town, Kildare (Phase 2)*",17,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1070,"CALF TURNKEY","Kildare","Loughlion, Kildare Town, Kildare (Phase 3)",16,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1071,"CALF TURNKEY","Kildare","Loughlion, Kildare Town, Kildare (Phase 4)*",16,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1072,"CALF TURNKEY","Kildare","Loughlion, Kildare Town, Kildare (Phase 5)*",16,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1073,"CALF TURNKEY","Kildare","Main Street, Prosperous, Clane, Co. Kildare (Phase 1)*",16,"Clanmil Housing Association Ireland","","","","Q3-2020","",""
1074,"CALF TURNKEY","Kildare","Mariavilla and Elsmore, Kildare (Phase 1)*",15,"T�ath Housing Association","","","","","","Q4-2019"
1075,"CALF TURNKEY","Kildare","Millfield Manor, Newbridge, Co. Kildare (Phase 1)*",19,"Cluid Housing","","","","","","Q3-2018"
1076,"CALF TURNKEY","Kildare","Morristown, Newbridge, Co Kildare (Phase 1)",14,"Cluid Housing","","","","","","Q1-2018"
1077,"CALF TURNKEY","Kildare","Morristown, Newbridge, Co. Kildare (Phase 1)*",4,"Cluid Housing","","","","","","Q2-2018"
1078,"CALF TURNKEY","Kildare","Mullen Park, Straffan Road, Maynooth, Co. Kildare (Phase 1)",24,"T�ath Housing Association","","","","","Q2-2019",""
1079,"CALF TURNKEY","Kildare","Mullen Park, Straffan Road, Maynooth, Co. Kildare (Phase 2)*",24,"T�ath Housing Association","","","","","Q2-2019",""
1080,"CALF TURNKEY","Kildare","Mullen Park, Straffan Road, Maynooth, Co. Kildare (Phase 3)*",19,"T�ath Housing Association","","","","","Q2-2019",""
1081,"CALF TURNKEY","Kildare","Mullen Park, Straffan Road, Maynooth, Co. Kildare (Phase 4)*",28,"T�ath Housing Association","","","","","Q2-2019",""
1082,"CALF TURNKEY","Kildare","Oakpark, Craddockstown, Kildare (Phase 1)",6,"T�ath Housing Association","","","","","Q4-2018",""
1083,"CALF TURNKEY","Kildare","Oaktree, Tully Road, Kildare Town (Phase 1)*",10,"T�ath Housing Association","","","","","","Q2-2018"
1084,"CALF TURNKEY","Kildare","Oaktree, Tully Road, Kildare Town (Phase 2)*",7,"T�ath Housing Association","","","","","","Q3-2018"
1085,"CALF TURNKEY","Kildare","Phase 2, White Oaks, Newbridge, Kildare (Phase 1)",36,"Cluid Housing","","","","","","Q4-2019"
1086,"CALF TURNKEY","Kildare","Revised Rye Abbey, Kilcock, Co Kildare (apts)\n (Phase 1)",33,"Cluid Housing","","","","","","Q2-2017"
1087,"CALF TURNKEY","Kildare","Robertstown, Naas , Co.Kildare (Phase 1)",5,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2020"
1088,"CALF TURNKEY","Kildare","Roseberry Hill, Newbridge (Phase 1)",13,"T�ath Housing Association","","","","","","Q2-2017"
1089,"CALF TURNKEY","Kildare","Roseberry Hill, Newbridge (Phase 2)",16,"T�ath Housing Association","","","","","","Q4-2017"
1090,"CALF TURNKEY","Kildare","Roseberry Hill, Newbridge (Phase 3)",16,"T�ath Housing Association","","","","","","Q1-2018"
1091,"CALF TURNKEY","Kildare","Rye Abbey, Kilcock - revised (houses) (Phase 1)",4,"Cluid Housing","","","","","","Q2-2017"
1092,"CALF TURNKEY","Kildare","The Arches, Castlefarm, Naas, Co. Kildare (Phase 1)*",4,"T�ath Housing Association","","","","","Q3-2018",""
1093,"CALF TURNKEY","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 1)*",5,"Cluid Housing","","","","","","Q4-2019"
1094,"CALF TURNKEY","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 2)*",3,"Cluid Housing","","","","","Q4-2018",""
1095,"CALF TURNKEY","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 3)*",16,"Cluid Housing","","","","","Q4-2018",""
1096,"CALF TURNKEY","Kildare","The Paddocks, Newbridge, Co Kildare (Phase 1)",18,"Cluid Housing","","","","","Q1-2019",""
1097,"CALF TURNKEY","Kildare","The Paddocks, Newbridge, Kildare  (Phase 1)",26,"Cluid Housing","","","","","Q2-2020",""
1098,"CALF TURNKEY","Kildare","The Paddocks, Newbridge, Kildare  (Phase 2)",33,"Cluid Housing","","","","","Q2-2020",""
1099,"CALF TURNKEY","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)",18,"Respond","","","","","","Q4-2019"
1100,"CALF TURNKEY","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)*",18,"Respond","","","","","Q3-2019",""
1101,"CALF TURNKEY","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 2)",32,"Respond","","","","","","Q2-2020"
1102,"CALF TURNKEY","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 1)*",14,"Cluid Housing","","","","","","Q4-2018"
1103,"CALF TURNKEY","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 2)",24,"Cluid Housing","","","","","","Q4-2018"
1104,"CALF TURNKEY","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 3)",20,"Cluid Housing","","","","","","Q1-2019"
1105,"CALF TURNKEY","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 4)",2,"Cluid Housing","","","","","","Q4-2019"
1106,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Kildare","Craddockstown, Naas (Phase 1)",36,"*N/A","","","","","","Q2-2020"
1107,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Kildare","Craddockstown, Naas (Phase 2)",38,"*N/A","","","","","","Q3-2020"
1108,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Kildare","Butterstream, Clane",77,"*N/A","","","","","Q1-2019",""
1109,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",11,"*N/A","","","","","","Q2-2017"
1110,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Newpark, Castlecomer Road, Kilkenny",7,"*N/A","","","","","","Q1-2017"
1111,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank",8,"*N/A","","","","","","Q1-2018"
1112,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",5,"*N/A","","","","","","Q4-2017"
1113,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank (Phase 2)",1,"*N/A","","","","","","Q3-2018"
1114,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford (Phase 3)",18,"*N/A","","","","","","Q4-2018"
1115,"SHIP CONSTRUCTION TURNKEY","Kilkenny","New Road, Mooncoin",4,"*N/A","","","","","Q3-2018",""
1116,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Chapel Street, Mooncoin",2,"*N/A","","","","","Q3-2018",""
1117,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Ogenty, Gowran",12,"*N/A","","","","","","Q4-2018"
1118,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Lower Kilmacow",16,"*N/A","","","","","Q3-2020",""
1119,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Hebron Road, Kilkenny",8,"*N/A","","","","","Q3-2020",""
1120,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Limegrove, Oakridge, Ferrybank, Co. Kilkenny",4,"*N/A","","","","","","Q2-2020"
1121,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Hebron Road, Kilkenny",52,"*N/A","","","","","Q3-2020",""
1122,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Lower Kilmacow, Co. Kilkenny",16,"*N/A","","","","","Q3-2020",""
1123,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Limegrove, Ferrybank, Co. Kilkenny",15,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1124,"SHIP CONSTRUCTION","Kilkenny","Group Home Cloghabrody, Thomastown",4,"*N/A","","","","","","Q3-2020"
